cs_week_beg_dt,country,channel_type,l1_topic,sr_cnt,csat_sum,csat_response_cnt,rsltn_cnt,rsltn_response_cnt
2026-02-02,DE,Phone,Returns & Refunds,174,157,41,160,118
2026-02-02,DE,Chat,Returns & Refunds,131,97,26,115,81
2026-02-02,DE,Email,Returns & Refunds,76,62,17,68,43
2026-02-02,DE,Phone,Shipping & Delivery,158,129,34,141,104
2026-02-02,DE,Chat,Shipping & Delivery,118,100,26,108,77
2026-02-02,DE,Email,Shipping & Delivery,68,44,12,62,40
2026-02-02,DE,Phone,Payments & Payouts,103,94,25,90,66
2026-02-02,DE,Chat,Payments & Payouts,75,73,19,67,49
2026-02-02,DE,Email,Payments & Payouts,46,32,9,41,26
2026-02-02,DE,Phone,Listing & Selling,97,81,20,89,70
2026-02-02,DE,Chat,Listing & Selling,79,63,16,68,54
2026-02-02,DE,Email,Listing & Selling,46,42,11,43,32
2026-02-02,DE,Phone,Account Access,82,66,17,73,56
2026-02-02,DE,Chat,Account Access,61,50,13,57,44
2026-02-02,DE,Email,Account Access,34,30,8,32,22
2026-02-02,DE,Phone,Buyer & Seller Disputes,57,53,15,53,37
2026-02-02,DE,Chat,Buyer & Seller Disputes,47,39,11,42,27
2026-02-02,DE,Email,Buyer & Seller Disputes,25,21,6,22,13
2026-02-09,US,Phone,Returns & Refunds,746,657,167,665,491
2026-02-09,US,Chat,Returns & Refunds,564,432,112,489,360
2026-02-09,US,Email,Returns & Refunds,311,273,72,273,181
2026-02-09,US,Phone,Shipping & Delivery,618,480,122,544,426
2026-02-09,US,Chat,Shipping & Delivery,473,426,109,423,310
2026-02-09,US,Email,Shipping & Delivery,269,220,58,245,165
2026-02-09,US,Phone,Payments & Payouts,399,397,101,363,271
2026-02-09,US,Chat,Payments & Payouts,322,304,77,296,221
2026-02-09,US,Email,Payments & Payouts,174,164,43,157,109
2026-02-09,US,Phone,Listing & Selling,356,279,68,324,274
2026-02-09,US,Chat,Listing & Selling,291,246,60,260,208
2026-02-09,US,Email,Listing & Selling,172,124,32,152,114
2026-02-09,US,Phone,Account Access,313,288,71,280,222
2026-02-09,US,Chat,Account Access,233,190,47,200,157
2026-02-09,US,Email,Account Access,137,111,29,120,90
2026-02-09,US,Phone,Buyer & Seller Disputes,236,208,56,215,150
2026-02-09,US,Chat,Buyer & Seller Disputes,179,143,39,164,114
2026-02-09,US,Email,Buyer & Seller Disputes,107,78,22,93,59
2026-02-09,UK,Phone,Returns & Refunds,259,211,54,230,168
2026-02-09,UK,Chat,Returns & Refunds,209,207,54,184,130
2026-02-09,UK,Email,Returns & Refunds,117,103,28,103,68
2026-02-09,UK,Phone,Shipping & Delivery,219,171,44,190,142
2026-02-09,UK,Chat,Shipping & Delivery,184,183,47,167,122
2026-02-09,UK,Email,Shipping & Delivery,99,78,21,86,57
2026-02-09,UK,Phone,Payments & Payouts,159,114,29,139,102
2026-02-09,UK,Chat,Payments & Payouts,128,115,30,117,86
2026-02-09,UK,Email,Payments & Payouts,72,63,17,64,43
2026-02-09,UK,Phone,Listing & Selling,156,127,31,137,113
2026-02-09,UK,Chat,Listing & Selling,126,125,31,109,88
2026-02-09,UK,Email,Listing & Selling,70,62,16,61,44
2026-02-09,UK,Phone,Account Access,117,91,23,108,87
2026-02-09,UK,Chat,Account Access,95,94,24,89,68
2026-02-09,UK,Email,Account Access,50,51,13,45,32
2026-02-09,UK,Phone,Buyer & Seller Disputes,92,62,17,84,60
2026-02-09,UK,Chat,Buyer & Seller Disputes,73,65,18,68,46
2026-02-09,UK,Email,Buyer & Seller Disputes,40,35,10,35,22
2026-02-09,DE,Phone,Returns & Refunds,158,113,30,145,102
2026-02-09,DE,Chat,Returns & Refunds,131,94,25,113,81
2026-02-09,DE,Email,Returns & Refunds,74,61,17,67,42
2026-02-09,DE,Phone,Shipping & Delivery,128,92,24,115,84
2026-02-09,DE,Chat,Shipping & Delivery,104,91,24,93,68
2026-02-09,DE,Email,Shipping & Delivery,58,48,13,51,34
2026-02-09,DE,Phone,Payments & Payouts,103,92,24,93,67
2026-02-09,DE,Chat,Payments & Payouts,76,73,19,69,50
2026-02-09,DE,Email,Payments & Payouts,44,36,10,41,27
2026-02-09,DE,Phone,Listing & Selling,89,68,17,77,62
2026-02-09,DE,Chat,Listing & Selling,69,55,14,59,47
2026-02-09,DE,Email,Listing & Selling,40,39,10,36,26
2026-02-09,DE,Phone,Account Access,75,59,15,67,54
2026-02-09,DE,Chat,Account Access,56,58,15,52,40
2026-02-09,DE,Email,Account Access,33,30,8,30,21
2026-02-09,DE,Phone,Buyer & Seller Disputes,54,44,12,47,33
2026-02-09,DE,Chat,Buyer & Seller Disputes,40,32,9,36,24
2026-02-09,DE,Email,Buyer & Seller Disputes,24,20,6,21,13
2026-02-16,US,Phone,Returns & Refunds,699,654,166,616,454
2026-02-16,US,Chat,Returns & Refunds,583,475,120,507,380
2026-02-16,US,Email,Returns & Refunds,321,227,61,278,190
2026-02-16,US,Phone,Shipping & Delivery,612,610,155,552,430
2026-02-16,US,Chat,Shipping & Delivery,477,362,91,437,326
2026-02-16,US,Email,Shipping & Delivery,250,186,49,215,147
2026-02-16,US,Phone,Payments & Payouts,467,365,93,410,317
2026-02-16,US,Chat,Payments & Payouts,365,310,79,340,251
2026-02-16,US,Email,Payments & Payouts,196,169,45,172,116
2026-02-16,US,Phone,Listing & Selling,402,318,78,346,284
2026-02-16,US,Chat,Listing & Selling,311,306,74,284,232
2026-02-16,US,Email,Listing & Selling,174,158,40,154,113
2026-02-16,US,Phone,Account Access,308,270,66,275,220
2026-02-16,US,Chat,Account Access,245,251,62,216,174
2026-02-16,US,Email,Account Access,143,119,31,123,92
2026-02-16,US,Phone,Buyer & Seller Disputes,246,236,64,221,159
2026-02-16,US,Chat,Buyer & Seller Disputes,199,143,38,171,118
2026-02-16,US,Email,Buyer & Seller Disputes,110,77,22,100,62
2026-02-16,UK,Phone,Returns & Refunds,225,196,51,211,154
2026-02-16,UK,Chat,Returns & Refunds,187,169,44,161,115
2026-02-16,UK,Email,Returns & Refunds,105,74,20,96,62
2026-02-16,UK,Phone,Shipping & Delivery,204,159,41,181,140
2026-02-16,UK,Chat,Shipping & Delivery,160,155,40,148,111
2026-02-16,UK,Email,Shipping & Delivery,91,79,21,84,56
2026-02-16,UK,Phone,Payments & Payouts,159,132,34,141,105
2026-02-16,UK,Chat,Payments & Payouts,117,94,24,105,75
2026-02-16,UK,Email,Payments & Payouts,71,67,18,62,40
2026-02-16,UK,Phone,Listing & Selling,147,129,32,131,108
2026-02-16,UK,Chat,Listing & Selling,110,80,20,97,77
2026-02-16,UK,Email,Listing & Selling,64,59,15,56,42
2026-02-16,UK,Phone,Account Access,116,116,29,108,87
2026-02-16,UK,Chat,Account Access,94,91,23,86,68
2026-02-16,UK,Email,Account Access,52,42,11,47,33
2026-02-16,UK,Phone,Buyer & Seller Disputes,91,84,23,83,59
2026-02-16,UK,Chat,Buyer & Seller Disputes,71,62,17,65,44
2026-02-16,UK,Email,Buyer & Seller Disputes,41,35,10,38,24
2026-02-16,DE,Phone,Returns & Refunds,163,159,42,151,111
2026-02-16,DE,Chat,Returns & Refunds,128,94,25,114,82
2026-02-16,DE,Email,Returns & Refunds,78,58,16,68,44
2026-02-16,DE,Phone,Shipping & Delivery,127,92,24,115,87
2026-02-16,DE,Chat,Shipping & Delivery,100,72,19,91,67
2026-02-16,DE,Email,Shipping & Delivery,56,47,13,51,34
2026-02-16,DE,Phone,Payments & Payouts,99,80,21,90,67
2026-02-16,DE,Chat,Payments & Payouts,79,56,15,73,52
2026-02-16,DE,Email,Payments & Payouts,43,37,10,38,25
2026-02-16,DE,Phone,Listing & Selling,93,92,23,83,67
2026-02-16,DE,Chat,Listing & Selling,72,55,14,65,52
2026-02-16,DE,Email,Listing & Selling,40,31,8,36,26
2026-02-16,DE,Phone,Account Access,73,60,15,68,54
2026-02-16,DE,Chat,Account Access,59,47,12,55,41
2026-02-16,DE,Email,Account Access,33,23,6,31,21
2026-02-16,DE,Phone,Buyer & Seller Disputes,58,43,12,52,34
2026-02-16,DE,Chat,Buyer & Seller Disputes,44,35,10,39,25
2026-02-16,DE,Email,Buyer & Seller Disputes,24,17,5,22,14
2026-02-23,US,Phone,Returns & Refunds,725,627,161,672,501
2026-02-23,US,Chat,Returns & Refunds,563,560,142,514,375
2026-02-23,US,Email,Returns & Refunds,321,215,58,276,190
2026-02-23,US,Phone,Shipping & Delivery,571,529,133,532,416
2026-02-23,US,Chat,Shipping & Delivery,467,445,113,426,325
2026-02-23,US,Email,Shipping & Delivery,267,211,56,243,173
2026-02-23,US,Phone,Payments & Payouts,425,366,94,376,280
2026-02-23,US,Chat,Payments & Payouts,343,269,68,307,227
2026-02-23,US,Email,Payments & Payouts,197,179,47,177,124
2026-02-23,US,Phone,Listing & Selling,409,318,78,384,327
2026-02-23,US,Chat,Listing & Selling,331,300,73,306,250
2026-02-23,US,Email,Listing & Selling,194,196,49,175,129
2026-02-23,US,Phone,Account Access,307,307,76,270,224
2026-02-23,US,Chat,Account Access,241,207,51,219,175
2026-02-23,US,Email,Account Access,141,112,29,132,98
2026-02-23,US,Phone,Buyer & Seller Disputes,245,162,44,225,158
2026-02-23,US,Chat,Buyer & Seller Disputes,195,154,41,177,123
2026-02-23,US,Email,Buyer & Seller Disputes,106,94,26,96,61
2026-02-23,UK,Phone,Returns & Refunds,255,183,47,222,163
2026-02-23,UK,Chat,Returns & Refunds,201,156,40,189,133
2026-02-23,UK,Email,Returns & Refunds,117,82,22,103,68
2026-02-23,UK,Phone,Shipping & Delivery,232,216,55,217,165
2026-02-23,UK,Chat,Shipping & Delivery,182,164,42,159,118
2026-02-23,UK,Email,Shipping & Delivery,97,72,19,88,61
2026-02-23,UK,Phone,Payments & Payouts,151,117,30,139,106
2026-02-23,UK,Chat,Payments & Payouts,116,94,24,107,77
2026-02-23,UK,Email,Payments & Payouts,68,52,14,60,39
2026-02-23,UK,Phone,Listing & Selling,132,123,30,120,99
2026-02-23,UK,Chat,Listing & Selling,103,96,24,90,71
2026-02-23,UK,Email,Listing & Selling,60,47,12,55,40
2026-02-23,UK,Phone,Account Access,113,97,24,105,83
2026-02-23,UK,Chat,Account Access,88,67,17,80,61
2026-02-23,UK,Email,Account Access,52,46,12,48,35
2026-02-23,UK,Phone,Buyer & Seller Disputes,81,70,19,74,51
2026-02-23,UK,Chat,Buyer & Seller Disputes,63,54,15,57,39
2026-02-23,UK,Email,Buyer & Seller Disputes,36,28,8,32,19
2026-02-23,DE,Phone,Returns & Refunds,167,143,38,147,109
2026-02-23,DE,Chat,Returns & Refunds,124,100,26,117,83
2026-02-23,DE,Email,Returns & Refunds,71,65,18,65,41
2026-02-23,DE,Phone,Shipping & Delivery,127,118,31,115,85
2026-02-23,DE,Chat,Shipping & Delivery,101,87,23,93,68
2026-02-23,DE,Email,Shipping & Delivery,58,47,13,54,35
2026-02-23,DE,Phone,Payments & Payouts,98,92,24,85,62
2026-02-23,DE,Chat,Payments & Payouts,74,62,16,70,49
2026-02-23,DE,Email,Payments & Payouts,45,40,11,41,27
2026-02-23,DE,Phone,Listing & Selling,89,88,22,83,68
2026-02-23,DE,Chat,Listing & Selling,72,63,16,66,51
2026-02-23,DE,Email,Listing & Selling,39,31,8,34,24
2026-02-23,DE,Phone,Account Access,72,71,18,66,52
2026-02-23,DE,Chat,Account Access,53,51,13,47,36
2026-02-23,DE,Email,Account Access,31,23,6,28,20
2026-02-23,DE,Phone,Buyer & Seller Disputes,53,47,13,49,33
2026-02-23,DE,Chat,Buyer & Seller Disputes,41,33,9,35,23
2026-02-23,DE,Email,Buyer & Seller Disputes,24,21,6,21,13
2026-03-02,US,Phone,Returns & Refunds,711,614,158,625,483
2026-03-02,US,Chat,Returns & Refunds,523,496,126,477,356
2026-03-02,US,Email,Returns & Refunds,319,309,81,281,193
2026-03-02,US,Phone,Shipping & Delivery,622,633,158,583,455
2026-03-02,US,Chat,Shipping & Delivery,502,390,100,457,342
2026-03-02,US,Email,Shipping & Delivery,286,239,63,266,182
2026-03-02,US,Phone,Payments & Payouts,457,375,96,424,330
2026-03-02,US,Chat,Payments & Payouts,362,356,91,329,250
2026-03-02,US,Email,Payments & Payouts,202,173,45,188,131
2026-03-02,US,Phone,Listing & Selling,383,322,77,357,293
2026-03-02,US,Chat,Listing & Selling,323,296,72,288,232
2026-03-02,US,Email,Listing & Selling,180,137,35,164,122
2026-03-02,US,Phone,Account Access,344,257,63,305,250
2026-03-02,US,Chat,Account Access,257,208,51,223,180
2026-03-02,US,Email,Account Access,145,110,28,131,94
2026-03-02,US,Phone,Buyer & Seller Disputes,245,222,60,213,155
2026-03-02,US,Chat,Buyer & Seller Disputes,188,151,41,171,117
2026-03-02,US,Email,Buyer & Seller Disputes,109,85,24,98,63
2026-03-02,UK,Phone,Returns & Refunds,256,207,53,227,165
2026-03-02,UK,Chat,Returns & Refunds,202,157,41,180,128
2026-03-02,UK,Email,Returns & Refunds,119,98,26,104,69
2026-03-02,UK,Phone,Shipping & Delivery,225,213,54,196,151
2026-03-02,UK,Chat,Shipping & Delivery,176,135,35,152,113
2026-03-02,UK,Email,Shipping & Delivery,92,75,20,81,54
2026-03-02,UK,Phone,Payments & Payouts,153,116,30,132,100
2026-03-02,UK,Chat,Payments & Payouts,123,89,23,110,80
2026-03-02,UK,Email,Payments & Payouts,72,52,14,63,43
2026-03-02,UK,Phone,Listing & Selling,156,165,40,135,112
2026-03-02,UK,Chat,Listing & Selling,119,104,26,111,91
2026-03-02,UK,Email,Listing & Selling,67,62,16,58,43
2026-03-02,UK,Phone,Account Access,121,88,22,113,89
2026-03-02,UK,Chat,Account Access,95,85,21,88,67
2026-03-02,UK,Email,Account Access,54,39,10,48,34
2026-03-02,UK,Phone,Buyer & Seller Disputes,84,60,16,78,53
2026-03-02,UK,Chat,Buyer & Seller Disputes,65,43,12,56,38
2026-03-02,UK,Email,Buyer & Seller Disputes,39,35,10,36,22
2026-03-02,DE,Phone,Returns & Refunds,177,153,40,158,112
2026-03-02,DE,Chat,Returns & Refunds,134,96,25,120,86
2026-03-02,DE,Email,Returns & Refunds,76,51,14,68,44
2026-03-02,DE,Phone,Shipping & Delivery,151,119,31,134,98
2026-03-02,DE,Chat,Shipping & Delivery,114,102,27,106,77
2026-03-02,DE,Email,Shipping & Delivery,69,63,17,62,40
2026-03-02,DE,Phone,Payments & Payouts,103,81,21,89,65
2026-03-02,DE,Chat,Payments & Payouts,87,61,16,78,57
2026-03-02,DE,Email,Payments & Payouts,49,47,13,44,29
2026-03-02,DE,Phone,Listing & Selling,101,103,26,89,71
2026-03-02,DE,Chat,Listing & Selling,83,64,16,75,59
2026-03-02,DE,Email,Listing & Selling,46,34,9,42,30
2026-03-02,DE,Phone,Account Access,80,80,20,72,55
2026-03-02,DE,Chat,Account Access,61,59,15,56,42
2026-03-02,DE,Email,Account Access,33,26,7,28,20
2026-03-02,DE,Phone,Buyer & Seller Disputes,62,50,14,56,37
2026-03-02,DE,Chat,Buyer & Seller Disputes,49,44,12,45,30
2026-03-02,DE,Email,Buyer & Seller Disputes,28,21,6,25,15
2026-03-09,US,Phone,Returns & Refunds,649,545,138,574,430
2026-03-09,US,Chat,Returns & Refunds,494,488,124,426,321
2026-03-09,US,Email,Returns & Refunds,309,250,66,286,188
2026-03-09,US,Phone,Shipping & Delivery,544,547,136,490,379
2026-03-09,US,Chat,Shipping & Delivery,431,355,89,396,295
2026-03-09,US,Email,Shipping & Delivery,241,177,47,223,158
2026-03-09,US,Phone,Payments & Payouts,387,334,84,340,258
2026-03-09,US,Chat,Payments & Payouts,312,262,67,282,207
2026-03-09,US,Email,Payments & Payouts,170,158,42,149,104
2026-03-09,US,Phone,Listing & Selling,396,411,99,357,294
2026-03-09,US,Chat,Listing & Selling,291,281,69,269,220
2026-03-09,US,Email,Listing & Selling,172,151,38,148,114
2026-03-09,US,Phone,Account Access,343,254,63,310,257
2026-03-09,US,Chat,Account Access,253,259,64,229,181
2026-03-09,US,Email,Account Access,153,133,34,133,97
2026-03-09,US,Phone,Buyer & Seller Disputes,251,177,48,225,157
2026-03-09,US,Chat,Buyer & Seller Disputes,182,150,41,165,117
2026-03-09,US,Email,Buyer & Seller Disputes,110,71,20,99,63
2026-03-09,UK,Phone,Returns & Refunds,259,257,65,224,164
2026-03-09,UK,Chat,Returns & Refunds,202,156,40,180,132
2026-03-09,UK,Email,Returns & Refunds,124,120,32,108,73
2026-03-09,UK,Phone,Shipping & Delivery,243,206,53,227,174
2026-03-09,UK,Chat,Shipping & Delivery,182,152,39,160,117
2026-03-09,UK,Email,Shipping & Delivery,108,80,21,97,67
2026-03-09,UK,Phone,Payments & Payouts,164,130,33,152,117
2026-03-09,UK,Chat,Payments & Payouts,124,109,28,114,85
2026-03-09,UK,Email,Payments & Payouts,69,52,14,62,41
2026-03-09,UK,Phone,Listing & Selling,143,121,30,132,110
2026-03-09,UK,Chat,Listing & Selling,107,81,20,98,80
2026-03-09,UK,Email,Listing & Selling,67,63,16,58,44
2026-03-09,UK,Phone,Account Access,127,101,25,113,90
2026-03-09,UK,Chat,Account Access,104,80,20,96,74
2026-03-09,UK,Email,Account Access,55,47,12,51,37
2026-03-09,UK,Phone,Buyer & Seller Disputes,90,77,21,83,58
2026-03-09,UK,Chat,Buyer & Seller Disputes,69,52,14,63,43
2026-03-09,UK,Email,Buyer & Seller Disputes,40,28,8,36,22
2026-03-09,DE,Phone,Returns & Refunds,166,128,33,152,112
2026-03-09,DE,Chat,Returns & Refunds,135,107,28,122,85
2026-03-09,DE,Email,Returns & Refunds,75,65,18,69,44
2026-03-09,DE,Phone,Shipping & Delivery,151,130,34,136,104
2026-03-09,DE,Chat,Shipping & Delivery,114,112,29,106,78
2026-03-09,DE,Email,Shipping & Delivery,63,48,13,58,38
2026-03-09,DE,Phone,Payments & Payouts,102,96,25,96,69
2026-03-09,DE,Chat,Payments & Payouts,82,72,19,72,51
2026-03-09,DE,Email,Payments & Payouts,45,33,9,39,26
2026-03-09,DE,Phone,Listing & Selling,95,71,18,83,68
2026-03-09,DE,Chat,Listing & Selling,75,72,18,66,51
2026-03-09,DE,Email,Listing & Selling,44,38,10,38,27
2026-03-09,DE,Phone,Account Access,80,63,16,70,55
2026-03-09,DE,Chat,Account Access,60,43,11,53,41
2026-03-09,DE,Email,Account Access,36,31,8,33,23
2026-03-09,DE,Phone,Buyer & Seller Disputes,62,58,16,57,39
2026-03-09,DE,Chat,Buyer & Seller Disputes,44,39,11,38,25
2026-03-09,DE,Email,Buyer & Seller Disputes,25,21,6,22,13
2026-03-16,US,Phone,Returns & Refunds,624,457,117,580,433
2026-03-16,US,Chat,Returns & Refunds,502,405,103,456,345
2026-03-16,US,Email,Returns & Refunds,275,233,62,249,173
2026-03-16,US,Phone,Shipping & Delivery,599,602,150,522,405
2026-03-16,US,Chat,Shipping & Delivery,427,410,104,391,296
2026-03-16,US,Email,Shipping & Delivery,262,203,53,237,164
2026-03-16,US,Phone,Payments & Payouts,400,343,87,354,266
2026-03-16,US,Chat,Payments & Payouts,312,277,70,288,220
2026-03-16,US,Email,Payments & Payouts,183,147,39,169,118
2026-03-16,US,Phone,Listing & Selling,397,345,84,351,290
2026-03-16,US,Chat,Listing & Selling,290,224,54,264,216
2026-03-16,US,Email,Listing & Selling,164,162,41,149,115
2026-03-16,US,Phone,Account Access,308,227,56,280,226
2026-03-16,US,Chat,Account Access,239,199,49,214,166
2026-03-16,US,Email,Account Access,141,130,33,126,94
2026-03-16,US,Phone,Buyer & Seller Disputes,254,247,65,239,167
2026-03-16,US,Chat,Buyer & Seller Disputes,192,178,48,172,120
2026-03-16,US,Email,Buyer & Seller Disputes,104,68,19,95,61
2026-03-16,UK,Phone,Returns & Refunds,249,221,56,227,169
2026-03-16,UK,Chat,Returns & Refunds,201,181,47,187,137
2026-03-16,UK,Email,Returns & Refunds,107,93,25,98,66
2026-03-16,UK,Phone,Shipping & Delivery,229,172,43,212,159
2026-03-16,UK,Chat,Shipping & Delivery,177,155,40,157,115
2026-03-16,UK,Email,Shipping & Delivery,101,72,19,90,61
2026-03-16,UK,Phone,Payments & Payouts,151,105,27,135,103
2026-03-16,UK,Chat,Payments & Payouts,115,89,23,105,78
2026-03-16,UK,Email,Payments & Payouts,70,61,16,66,45
2026-03-16,UK,Phone,Listing & Selling,157,117,29,136,114
2026-03-16,UK,Chat,Listing & Selling,114,106,26,105,85
2026-03-16,UK,Email,Listing & Selling,71,51,13,64,48
2026-03-16,UK,Phone,Account Access,121,117,29,113,89
2026-03-16,UK,Chat,Account Access,92,75,19,79,63
2026-03-16,UK,Email,Account Access,57,43,11,50,36
2026-03-16,UK,Phone,Buyer & Seller Disputes,92,77,21,80,57
2026-03-16,UK,Chat,Buyer & Seller Disputes,71,51,14,62,41
2026-03-16,UK,Email,Buyer & Seller Disputes,41,35,10,35,22
2026-03-16,DE,Phone,Returns & Refunds,170,123,32,158,116
2026-03-16,DE,Chat,Returns & Refunds,132,94,25,117,81
2026-03-16,DE,Email,Returns & Refunds,73,62,17,64,42
2026-03-16,DE,Phone,Shipping & Delivery,135,133,34,123,93
2026-03-16,DE,Chat,Shipping & Delivery,107,89,23,100,73
2026-03-16,DE,Email,Shipping & Delivery,58,52,14,50,33
2026-03-16,DE,Phone,Payments & Payouts,97,70,18,86,65
2026-03-16,DE,Chat,Payments & Payouts,77,73,19,69,51
2026-03-16,DE,Email,Payments & Payouts,44,33,9,38,26
2026-03-16,DE,Phone,Listing & Selling,89,81,20,80,65
2026-03-16,DE,Chat,Listing & Selling,69,65,16,63,48
2026-03-16,DE,Email,Listing & Selling,40,35,9,37,27
2026-03-16,DE,Phone,Account Access,74,64,16,67,51
2026-03-16,DE,Chat,Account Access,59,43,11,51,38
2026-03-16,DE,Email,Account Access,33,30,8,30,21
2026-03-16,DE,Phone,Buyer & Seller Disputes,53,41,11,49,34
2026-03-16,DE,Chat,Buyer & Seller Disputes,40,32,9,35,23
2026-03-16,DE,Email,Buyer & Seller Disputes,23,17,5,20,12
2026-03-23,US,Phone,Returns & Refunds,692,529,135,635,482
2026-03-23,US,Chat,Returns & Refunds,558,427,109,514,379
2026-03-23,US,Email,Returns & Refunds,323,248,66,300,205
2026-03-23,US,Phone,Shipping & Delivery,579,483,122,518,413
2026-03-23,US,Chat,Shipping & Delivery,459,327,83,431,320
2026-03-23,US,Email,Shipping & Delivery,260,238,63,242,170
2026-03-23,US,Phone,Payments & Payouts,409,371,92,370,284
2026-03-23,US,Chat,Payments & Payouts,316,300,76,279,208
2026-03-23,US,Email,Payments & Payouts,188,170,44,171,117
2026-03-23,US,Phone,Listing & Selling,377,338,82,335,278
2026-03-23,US,Chat,Listing & Selling,303,291,71,284,238
2026-03-23,US,Email,Listing & Selling,171,149,37,151,117
2026-03-23,US,Phone,Account Access,329,340,83,295,245
2026-03-23,US,Chat,Account Access,257,238,59,230,185
2026-03-23,US,Email,Account Access,139,140,36,126,92
2026-03-23,US,Phone,Buyer & Seller Disputes,261,244,65,237,166
2026-03-23,US,Chat,Buyer & Seller Disputes,203,141,38,178,125
2026-03-23,US,Email,Buyer & Seller Disputes,111,76,21,97,63
2026-03-23,UK,Phone,Returns & Refunds,255,253,65,226,172
2026-03-23,UK,Chat,Returns & Refunds,191,151,39,172,124
2026-03-23,UK,Email,Returns & Refunds,113,109,29,98,66
2026-03-23,UK,Phone,Shipping & Delivery,208,164,41,189,144
2026-03-23,UK,Chat,Shipping & Delivery,160,120,31,149,110
2026-03-23,UK,Email,Shipping & Delivery,100,83,22,92,62
2026-03-23,UK,Phone,Payments & Payouts,151,109,28,138,106
2026-03-23,UK,Chat,Payments & Payouts,123,117,30,115,86
2026-03-23,UK,Email,Payments & Payouts,71,49,13,63,43
2026-03-23,UK,Phone,Listing & Selling,155,163,40,139,117
2026-03-23,UK,Chat,Listing & Selling,110,112,27,100,80
2026-03-23,UK,Email,Listing & Selling,69,55,14,63,46
2026-03-23,UK,Phone,Account Access,121,102,25,110,89
2026-03-23,UK,Chat,Account Access,96,73,18,84,66
2026-03-23,UK,Email,Account Access,55,54,14,51,37
2026-03-23,UK,Phone,Buyer & Seller Disputes,90,74,20,79,56
2026-03-23,UK,Chat,Buyer & Seller Disputes,67,58,16,63,42
2026-03-23,UK,Email,Buyer & Seller Disputes,39,36,10,35,22
2026-03-23,DE,Phone,Returns & Refunds,159,111,29,138,100
2026-03-23,DE,Chat,Returns & Refunds,122,96,25,107,76
2026-03-23,DE,Email,Returns & Refunds,71,63,17,67,44
2026-03-23,DE,Phone,Shipping & Delivery,135,106,27,121,90
2026-03-23,DE,Chat,Shipping & Delivery,106,82,21,92,68
2026-03-23,DE,Email,Shipping & Delivery,63,56,15,56,36
2026-03-23,DE,Phone,Payments & Payouts,102,92,24,90,66
2026-03-23,DE,Chat,Payments & Payouts,76,65,17,71,51
2026-03-23,DE,Email,Payments & Payouts,44,34,9,40,26
2026-03-23,DE,Phone,Listing & Selling,93,80,20,84,69
2026-03-23,DE,Chat,Listing & Selling,74,60,15,68,54
2026-03-23,DE,Email,Listing & Selling,39,31,8,34,25
2026-03-23,DE,Phone,Account Access,72,72,18,67,53
2026-03-23,DE,Chat,Account Access,57,55,14,50,39
2026-03-23,DE,Email,Account Access,35,27,7,33,23
